date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150605],[ 10.89999962],[ 11.01000023],[ 10.89999962],[ 11.01000023],[ 3790690.],[3447201],[ 10.01000023],[ 10.01000023],[ 9.01000023],[ 9.30000019],[ 3607705.],[3928250],[ 11.01000023],[ 11.01000023],[ 11.01000023],[ 11.01000023],[ 1131690.],[1027875]
[20150608],[ 12.07999992],[ 12.10999966],[ 10.],[ 10.68999958],[ 40677056.],[36996603],[ 9.39999962],[ 9.89999962],[ 8.69999981],[ 8.88000011],[ 5699118.],[6353926],[ 12.10999966],[ 12.10999966],[ 11.81000042],[ 12.10000038],[ 8439167.],[6999027]
[20150609],[ 10.14000034],[ 10.14000034],[ 9.90999985],[ 9.93000031],[ 18397762.],[18447785],[ 8.69999981],[ 8.69999981],[ 8.31000042],[ 8.38000011],[ 4719984.],[5583300],[ 11.97999954],[ 12.],[ 11.01000023],[ 11.56000042],[ 8088047.],[7005627]
[20150610],[ 9.92000008],[ 9.92000008],[ 9.73999977],[ 9.84000015],[ 17374968.],[17701910],[ 8.36999989],[ 8.40999985],[ 8.18000031],[ 8.35999966],[ 4461402.],[5359500],[ 11.48999977],[ 11.5],[ 11.19999981],[ 11.31999969],[ 6215685.],[5484400]
[20150611],[ 9.81000042],[ 9.84000015],[ 9.64999962],[ 9.73999977],[ 8500053.],[8752733],[ 8.32999992],[ 8.36999989],[ 8.27999973],[ 8.36999989],[ 3288639.],[3948750],[ 11.31999969],[ 11.31999969],[ 11.01000023],[ 11.14999962],[ 3673294.],[3303250]
[20150612],[ 9.72999954],[ 9.84000015],[ 9.61999989],[ 9.72000027],[ 7843118.],[8064616],[ 8.36999989],[ 8.42000008],[ 8.31000042],[ 8.31000042],[ 2623143.],[3146350],[ 11.14000034],[ 11.30000019],[ 11.],[ 11.06000042],[ 3611069.],[3252652]
[20150615],[ 9.63000011],[ 9.80000019],[ 9.39999962],[ 9.47000027],[ 3021658.],[3144099],[ 8.32999992],[ 8.34000015],[ 8.27000046],[ 8.27999973],[ 1866237.],[2249300],[ 11.10000038],[ 11.14000034],[ 10.64999962],[ 10.67000008],[ 3654094.],[3325800]
[20150616],[ 9.44999981],[ 9.5],[ 9.05000019],[ 9.19999981],[ 3756181.],[4026956],[ 8.27999973],[ 8.31000042],[ 8.21000004],[ 8.31000042],[ 1821096.],[2196500],[ 10.73999977],[ 10.80000019],[ 10.01000023],[ 10.22000027],[ 2780431.],[2685700]
[20150617],[ 9.19999981],[ 9.38000011],[ 9.09000015],[ 9.28999996],[ 2801405.],[3046200],[ 8.31999969],[ 8.35999966],[ 8.27000046],[ 8.30000019],[ 1863180.],[2241100],[ 10.25],[ 10.39999962],[ 10.01000023],[ 10.19999981],[ 2314410.],[2281300]
[20150618],[ 9.30000019],[ 9.30000019],[ 8.90999985],[ 8.90999985],[ 3125126.],[3467721],[ 8.31999969],[ 8.32999992],[ 8.26000023],[ 8.28999996],[ 3634178.],[4379575],[ 10.19999981],[ 10.19999981],[ 9.5],[ 9.53999996],[ 2264927.],[2280650]
[20150619],[ 8.80000019],[ 8.97999954],[ 8.31000042],[ 8.48999977],[ 2512932.],[2900347],[ 8.28999996],[ 8.32999992],[ 8.27999973],[ 8.30000019],[ 3172074.],[3820540],[ 9.52999973],[ 9.52999973],[ 8.69999981],[ 8.69999981],[ 1414411.],[1545174]
[20150623],[ 8.39000034],[ 8.72000027],[ 8.35999966],[ 8.68000031],[ 3913533.],[4578879],[ 8.28999996],[ 8.30000019],[ 8.21000004],[ 8.26000023],[ 4025546.],[4872700],[ 8.71000004],[ 9.18999958],[ 8.5],[ 9.18999958],[ 4748400.],[5338200]
[20150624],[ 8.80000019],[ 8.85999966],[ 8.61999989],[ 8.85000038],[ 2887169.],[3312623],[ 8.26000023],[ 8.28999996],[ 8.22999954],[ 8.27999973],[ 4228668.],[5115950],[ 9.18999958],[ 9.47999954],[ 8.98999977],[ 9.42000008],[ 4792004.],[5228150]
[20150625],[ 8.86999989],[ 8.97999954],[ 8.40999985],[ 8.52999973],[ 2543496.],[2901300],[ 8.30000019],[ 8.40999985],[ 8.26000023],[ 8.38000011],[ 2125277.],[2549765],[ 9.56000042],[ 9.59000015],[ 8.56999969],[ 8.77000046],[ 3618736.],[3908800]
[20150626],[ 8.51000023],[ 8.65999985],[ 7.82999992],[ 8.01000023],[ 4169755.],[5051145],[ 8.39000034],[ 8.98999977],[ 8.32999992],[ 8.69999981],[ 7020599.],[8245849],[ 8.39000034],[ 8.68999958],[ 7.88999987],[ 7.88999987],[ 4902477.],[6047400]
[20150629],[ 8.10999966],[ 8.27000046],[ 7.5999999],[ 8.06999969],[ 3928743.],[4928021],[ 8.44999981],[ 8.48999977],[ 8.19999981],[ 8.30000019],[ 5359579.],[6412049],[ 8.03999996],[ 8.26000023],[ 7.0999999],[ 7.55999994],[ 5728102.],[7375500]
[20150630],[ 8.06999969],[ 8.48999977],[ 7.30000019],[ 8.39999962],[ 5036471.],[6126819],[ 8.27999973],[ 8.31999969],[ 8.10000038],[ 8.15999985],[ 8181599.],[9946150],[ 7.6500001],[ 8.31999969],[ 7.55999994],[ 8.31999969],[ 9115025.],[11245189]
[20150701],[ 8.39000034],[ 8.39000034],[ 7.86000013],[ 8.01000023],[ 2363381.],[2856920],[ 8.15999985],[ 8.22999954],[ 8.07999992],[ 8.15999985],[ 2149822.],[2638350],[ 8.30000019],[ 8.72999954],[ 7.80000019],[ 7.94999981],[ 6822766.],[8182750]
[20150702],[ 8.06000042],[ 8.32999992],[ 7.80999994],[ 7.92999983],[ 2482479.],[3085495],[ 8.10999966],[ 8.14000034],[ 8.02000046],[ 8.03999996],[ 2865890.],[3556500],[ 8.05000019],[ 8.30000019],[ 7.69999981],[ 7.86000013],[ 5055109.],[6293700]
[20150703],[ 8.],[ 8.27000046],[ 7.69000006],[ 7.96000004],[ 1607511.],[2020000],[ 8.01000023],[ 8.11999989],[ 7.80000019],[ 8.07999992],[ 2961534.],[3698050],[ 8.07999992],[ 8.30000019],[ 7.19999981],[ 7.61999989],[ 8121944.],[10298000]
[20150706],[ 8.69999981],[ 8.69999981],[ 8.03999996],[ 8.31000042],[ 6402924.],[7675683],[ 8.05000019],[ 8.31999969],[ 7.98999977],[ 8.22999954],[ 10386891.],[12796575],[ 8.38000011],[ 8.38000011],[ 8.18000031],[ 8.38000011],[ 14336503.],[17237073]
[20150707],[ 8.47000027],[ 9.14000034],[ 8.],[ 8.82999992],[ 3993191.],[4586057],[ 8.22999954],[ 8.48999977],[ 8.19999981],[ 8.44999981],[ 11190806.],[13339375],[ 8.5],[ 9.22000027],[ 8.34000015],[ 9.22000027],[ 12741666.],[14338951]
